node_1,node_2,edge,chunk_id
Failure,condition in which a device (system) or component has lost its specified functionality,hasProperty,0
Failure,functional failure,classifiedAs,0
functional failure,"system continuously deviates from its intended performance, with the degree of deviation steadily worsening",hasProperty,0
Failure analysis,Electromechanical Equipment,appliesTo,0
Failure analysis,"primary goal is to identify failure modes, uncover underlying failure mechanisms, and develop strategies to minimize failures",hasProperty,0
Meaning of the Failure,Fundamentals of Fault Diagnosis and Maintenance for Electromechanical Equipment,isSubsectionOf,0
Meaning of the Failure,Failure,contains,0
Meaning of the Failure,functional failure,contains,0
Meaning of the Failure,Failure analysis,contains,0
Failure,Intermittent failures,classifiedAs,1
Failure,Permanent failure,classifiedAs,1
Failure,Localized failure,classifiedAs,1
Failure,Systemic Failure,classifiedAs,1
Intermittent failures,EnvironmentalFactor,isInfluencedBy,1
Intermittent failures,operator error,isInfluencedBy,1
Intermittent failures,climate changes,isInfluencedBy,1
Intermittent failures,inadequate environmental conditions,isInfluencedBy,1
Permanent failure,damage to specific components,causes,1
Mechanical and electrical equipment,Time-to-failure,hasProperty,1
Time-to-failure,probability of failure increases over time,hasProperty,1
Equipment,operational conditions,isInfluencedBy,1
Equipment,maintenance conditions,isInfluencedBy,1
Equipment,skill level of personnel,isInfluencedBy,1
Equipment,environmental factors,isInfluencedBy,1
lathe,different functional capabilities,hasProperty,1
feed screw,lathe,isPartOf,1
Classification of Failures,Case Studies in Diagnostics and Maintenance of Mechatronic Systems,isSubsectionOf,1
Classification of Failures,Intermittent failures,contains,1
Classification of Failures,Permanent failure,contains,1
Classification of Failures,Localized failure,contains,1
Classification of Failures,Systemic Failure,contains,1
Intermittent failures,description,hasProperty,1
Permanent failure,description,hasProperty,1
Localized failure,description,hasProperty,1
Systemic Failure,description,hasProperty,1
Failure,definition,hasProperty,1
Sudden failures,Failure,classifiedAs,2
Sudden failures,unexpected and spontaneous occurrence,hasProperty,2
Sudden failures,inherent adverse factors,isInfluencedBy,2
Sudden failures,unpredictable external influences,isInfluencedBy,2
Gradual failure,Failure,classifiedAs,2
Gradual failure,slow development,hasProperty,2
Gradual failure,corrosion,isInfluencedBy,2
Gradual failure,wear,isInfluencedBy,2
Gradual failure,fatigue,isInfluencedBy,2
Gradual failure,material aging,isInfluencedBy,2
Failures caused by operational or management errors,Failure,classifiedAs,2
Failures caused by operational or management errors,improper equipment usage,causes,2
Failures caused by inherent system factors,Failure,classifiedAs,2
Failures caused by inherent system factors,"sudden, unexpected breakdowns",causes,2
Natural failures,Failure,classifiedAs,2
Natural failures,wear,isInfluencedBy,2
Natural failures,fracture,isInfluencedBy,2
Natural failures,corrosion,isInfluencedBy,2
Natural failures,deformation,isInfluencedBy,2
Natural failures,creep,isInfluencedBy,2
Natural failures,aging,isInfluencedBy,2
Critical Failure,Failure,classifiedAs,2
Critical Failure,endangers personal safety,hasProperty,2
Critical Failure,significant financial losses,hasProperty,2
Minor faults,Failure,classifiedAs,2
Minor faults,resolved within a relatively short time,hasProperty,2
Early-stage failures,Failure,classifiedAs,2
Early-stage failures,shortly after the equipment is first put into operation,occurrencePhase,2
Early-stage failures,design defects,isInfluencedBy,2
Early-stage failures,manufacturing defects,isInfluencedBy,2
Early-stage failures,material defects,isInfluencedBy,2
Failure during the useful life,Failure,classifiedAs,2
Failure during the useful life,within a product's effective lifespan,occurrencePhase,2
Late-stage failures,Failure,classifiedAs,2
Late-stage failures,latter part of a device's lifespan,occurrencePhase,2
Late-stage failures,wear,isInfluencedBy,2
Late-stage failures,fatigue,isInfluencedBy,2
Late-stage failures,aging,isInfluencedBy,2
Equipment,机电 equipment,appliesTo,2
Component,Equipment,isPartOf,2
gear pairs,Component,classifiedAs,2
frame,Component,classifiedAs,2
body,Component,classifiedAs,2
wheel,Component,classifiedAs,2
engine assembly,Component,classifiedAs,2
drive belts,Component,classifiedAs,2
control handles,Component,classifiedAs,2
sheet metal components,Component,classifiedAs,2
electrical switches,Component,classifiedAs,2
general fasteners,Component,classifiedAs,2
corrosion,FailureMode,classifiedAs,2
wear,FailureMode,classifiedAs,2
fatigue,FailureMode,classifiedAs,2
material aging,FailureMode,classifiedAs,2
fracture,FailureMode,classifiedAs,2
deformation,FailureMode,classifiedAs,2
creep,FailureMode,classifiedAs,2
aging,FailureMode,classifiedAs,2
residual stresses,Material,classifiedAs,2
localized weak points,Material,classifiedAs,2
monitoring,DiagnosticTechnique,classifiedAs,2
running-in,MaintenanceMethod,classifiedAs,2
promptly replacing,MaintenanceMethod,classifiedAs,2
Characteristics of the Failure,The material condition and characteristics,isSubsectionOf,3
Hierarchical Structure,The material condition and characteristics,isSubsectionOf,3
Multifactorial and Correlation,The material condition and characteristics,isSubsectionOf,3
Delayed Response,The material condition and characteristics,isSubsectionOf,3
Uncertainty (Ambiguity),The material condition and characteristics,isSubsectionOf,3
The material condition and characteristics,Failure,contains,3
Characteristics of the Failure,Equipment,contains,3
Characteristics of the Failure,Failure,contains,3
Hierarchical Structure,Failure,contains,3
Multifactorial and Correlation,Equipment,contains,3
Multifactorial and Correlation,Component,contains,3
Delayed Response,Equipment,contains,3
Delayed Response,Component,contains,3
Uncertainty (Ambiguity),Failure,contains,3
Equipment,manufacturing process,hasProperty,3
Equipment,installation process,hasProperty,3
Equipment,operating environment,hasProperty,3
Equipment,structure,hasProperty,3
Equipment,process parameters,hasProperty,3
Component,Equipment,isPartOf,3
Failure,EnvironmentalFactor,isInfluencedBy,3
Failure,Hierarchical,classifiedAs,3
Failure,Multifactorial,classifiedAs,3
Failure,Correlated,classifiedAs,3
Failure,Delayed,classifiedAs,3
Failure,Uncertain,classifiedAs,3
Failure,vibration,causes,3
Failure,displacement,causes,3
Failure,deformation,causes,3
Failure,fatigue,causes,3
Failure,crack propagation,causes,3
Failure,mechanical malfunction,causes,3
Failure,loss of functionality,causes,3
impact,Failure,causes,3
stress,Failure,causes,3
friction,Failure,causes,3
wear,Failure,causes,3
corrosion,Failure,causes,3
Failure,diversity,hasProperty,3
Failure,time-lag,hasProperty,3
Failure,uncertainty,hasProperty,3
Failure,ambiguity,hasProperty,3
DiagnosticTechnique,Failure,appliesTo,3
MaintenanceMethod,Failure,appliesTo,3
Management of Failures,Case Study Tutorial on Fault Diagnosis and Maintenance for Mechatronic Systems,isSubsectionOf,5
Management of Failures,Equipment failure management,contains,5
Management of Failures,Failure analysis,contains,5
Management of Failures,Proactive maintenance,contains,5
Equipment failure management,Equipment maintenance,isPartOf,5
Equipment failure management,Equipment,appliesTo,5
Equipment failure management,critical component,hasProperty,5
Failure analysis,Failure,appliesTo,5
Proactive maintenance,MaintenanceMethod,classifiedAs,5
Fault information,Equipment operation,isInfluencedBy,5
Accident early-warning mechanism,Procedure for managing enterprise equipment failures,canBeMaintainedBy,5
Equipment Failure Management Procedure,The procedure for equipment failure management is outlined below,isSubsectionOf,6
The procedure for equipment failure management is outlined below,Education and Awareness Campaigns,contains,6
Education and Awareness Campaigns,Operators,appliesTo,6
Education and Awareness Campaigns,Maintenance Personnel,appliesTo,6
Education and Awareness Campaigns,MaintenanceMethod,classifiedAs,6
Key Areas for Equipment Failure Management,Production Conditions,isInfluencedBy,6
Key Areas for Equipment Failure Management,Equipment Status,isInfluencedBy,6
Key Areas for Equipment Failure Management,Specific Features,isInfluencedBy,6
Monitoring Instruments,DiagnosticTechnique,classifiedAs,6
Diagnostic Techniques,DiagnosticTechnique,classifiedAs,6
Critical Equipment,Equipment,classifiedAs,6
Daily Inspections,MaintenanceMethod,classifiedAs,6
Routine Patrols,MaintenanceMethod,classifiedAs,6
Periodic Checks,MaintenanceMethod,classifiedAs,6
Precision Assessments,Periodic Checks,isPartOf,6
Integrity Assessments,MaintenanceMethod,classifiedAs,6
Human Senses,DiagnosticTechnique,classifiedAs,6
Common Diagnostic Tools,DiagnosticTechnique,classifiedAs,6
Inspection Standards,MaintenanceMethod,classifiedAs,6
Fault Location,Failure,classifiedAs,6
Fault Cause,Failure,causes,6
Maintenance Staff,Training,canBeMaintainedBy,6
Operational Staff,Training,canBeMaintainedBy,6
Electrical Technologies,Material,classifiedAs,6
Hydraulic Technologies,Material,classifiedAs,6
Fault-Finding Logic Flowchart,DiagnosticTechnique,classifiedAs,6
Fault Recording System,MaintenanceMethod,classifiedAs,6
Fault Records,MaintenanceMethod,classifiedAs,6
Equipment Failure Repair Form,MaintenanceMethod,classifiedAs,6
Equipment Management Department,Component,classifiedAs,6
Failure Statistics,MaintenanceMethod,classifiedAs,6
Failure Analysis,MaintenanceMethod,classifiedAs,6
Failure Frequency,Equipment,hasProperty,6
Mean Time Between Failures,Equipment,hasProperty,6
Planning Department,Component,classifiedAs,6
Preventive Maintenance,MaintenanceMethod,classifiedAs,6
Improvement Measures,MaintenanceMethod,classifiedAs,6
Routine Inspections,MaintenanceMethod,classifiedAs,6
Countermeasures,Failure Nature,isInfluencedBy,6
Countermeasures,Fault Type,isInfluencedBy,6
Countermeasures,Equipment Characteristics,isInfluencedBy,6
Newly Acquired Equipment,Equipment,classifiedAs,6
Initial Phase of Use,OccurrencePhase,classifiedAs,6
Routine Maintenance,MaintenanceMethod,classifiedAs,6
Regular Patrol Inspections,MaintenanceMethod,classifiedAs,6
Condition Monitoring,DiagnosticTechnique,classifiedAs,6
Diagnostics,DiagnosticTechnique,classifiedAs,6
Maintenance Team,Component,classifiedAs,6
Component-by-Component Fixes,RepairMethod,classifiedAs,6
Group-Based Replacements,RepairMethod,classifiedAs,6
Spare Parts,Material,classifiedAs,6
Equipment Overhauls,MaintenanceMethod,classifiedAs,6
Retrofitting,MaintenanceMethod,classifiedAs,6
Replacing Components,MaintenanceMethod,classifiedAs,6
Routine Maintenance Tasks,MaintenanceMethod,classifiedAs,6
Regional Maintenance Workers,Component,classifiedAs,6
Equipment Mechanic,Component,classifiedAs,6
Technician,Component,classifiedAs,6
Maintenance Team Leader,Component,classifiedAs,6
Routine Repairs,MaintenanceMethod,classifiedAs,6
Planned Maintenance Activities,MaintenanceMethod,classifiedAs,6
Fault Information Management Flowchart,MaintenanceMethod,classifiedAs,6
Key Factors Influencing Failure Generation,Fundamentals of Mechanical and Electrical Equipment Fault Diagnosis and Maintenance,isSubsectionOf,7
Key Factors Influencing Failure Generation,Design Planning,contains,7
Key Factors Influencing Failure Generation,Material Selection,contains,7
Key Factors Influencing Failure Generation,Manufacturing Quality,contains,7
Key Factors Influencing Failure Generation,Assembly Quality,contains,7
Key Factors Influencing Failure Generation,Proper Maintenance,contains,7
Design Planning,operating conditions,isInfluencedBy,7
Design Planning,Failure,causes,7
Design Planning,Equipment,appliesTo,7
Material Selection,wear,causes,7
Material Selection,corrosion,causes,7
Material Selection,excessive deformation,causes,7
Material Selection,fatigue,causes,7
Material Selection,cracking,causes,7
Material Selection,aging,causes,7
Material Selection,Component,appliesTo,7
Manufacturing Quality,short lifespan,causes,7
Manufacturing Quality,Component,appliesTo,7
Assembly Quality,additional stresses,causes,7
Assembly Quality,uneven wear,causes,7
Assembly Quality,component failure,causes,7
Assembly Quality,Component,appliesTo,7
Failure,Design Planning,isInfluencedBy,7
Failure,Material Selection,isInfluencedBy,7
Failure,Manufacturing Quality,isInfluencedBy,7
Failure,Assembly Quality,isInfluencedBy,7
Failure,wear,classifiedAs,7
Failure,corrosion,classifiedAs,7
Failure,excessive deformation,classifiedAs,7
Failure,fatigue,classifiedAs,7
Failure,cracking,classifiedAs,7
Failure,aging,classifiedAs,7
Failure,short lifespan,classifiedAs,7
Failure,component failure,classifiedAs,7
Equipment,complexity,hasProperty,7
Component,initial clearance,hasProperty,7
Component,positional accuracy,hasProperty,7
Material,microstructure,hasProperty,7
Material,mechanical properties,hasProperty,7
Material,physical properties,hasProperty,7
casting,Manufacturing Quality,isPartOf,7
forging,Manufacturing Quality,isPartOf,7
welding,Manufacturing Quality,isPartOf,7
heat treatment,Manufacturing Quality,isPartOf,7
stress concentrations,Manufacturing Quality,isPartOf,7
local defects,Manufacturing Quality,isPartOf,7
microscopic cracks,Manufacturing Quality,isPartOf,7
Load,Use correctly,isSubsectionOf,9
Environment,Use correctly,isSubsectionOf,9
Maintenance and Operation,Use correctly,isSubsectionOf,9
Use correctly,Load,contains,9
Use correctly,Environment,contains,9
Use correctly,Maintenance and Operation,contains,9
Load,wear failure,causes,9
Load,fatigue failure,causes,9
wear failure,FailureMode,classifiedAs,9
fatigue failure,FailureMode,classifiedAs,9
wear,Load,isInfluencedBy,9
fatigue,Load,isInfluencedBy,9
excessive load,severe failure,causes,9
Environment,climate,isInfluencedBy,9
Environment,corrosive media,isInfluencedBy,9
Environment,harmful substances,isInfluencedBy,9
Environment,working object condition,isInfluencedBy,9
increased temperature,accelerated wear,causes,9
increased temperature,accelerated corrosion,causes,9
high humidity,corrosion,causes,9
high humidity,corrosive wear,causes,9
corrosive agents,corrosion,causes,9
corrosive agents,corrosive wear,causes,9
excessive dust,equipment failure,causes,9
harsh operating conditions,equipment failure,causes,9
Maintenance and Operation,maintenance system,canBeMaintainedBy,9
Maintenance and Operation,technical maintenance guidelines,canBeMaintainedBy,9
Maintenance and Operation,operational procedures,canBeMaintainedBy,9
Maintenance and Operation,personnel training,canBeMaintainedBy,9
maintenance system,MaintenanceMethod,classifiedAs,9
technical maintenance guidelines,MaintenanceMethod,classifiedAs,9
operational procedures,MaintenanceMethod,classifiedAs,9
personnel training,MaintenanceMethod,classifiedAs,9
Mechatronic System Fault Diagnosis and Repair Case Study Tutorial,null,isSubsectionOf,10
Mechatronic System Fault Diagnosis and Repair Case Study Tutorial,Fault Diagnosis,contains,10
Mechatronic System Fault Diagnosis and Repair Case Study Tutorial,Repair Case Study,contains,10
Fault Diagnosis,Mechatronic System Fault Diagnosis and Repair Case Study Tutorial,isSubsectionOf,10
Repair Case Study,Mechatronic System Fault Diagnosis and Repair Case Study Tutorial,isSubsectionOf,10
Basics of Equipment Maintenance,null,isSubsectionOf,12
Maintenance Method,Basics of Equipment Maintenance,isSubsectionOf,12
Reactive Maintenance,Maintenance Method,isSubsectionOf,12
Preventive Maintenance,Maintenance Method,isSubsectionOf,12
Regular maintenance,Preventive Maintenance,isSubsectionOf,12
Planned Preventive Maintenance System,Maintenance Method,isSubsectionOf,12
Planned Maintenance System,Maintenance Method,isSubsectionOf,12
Reactive Maintenance,MaintenanceMethod,classifiedAs,12
Reactive Maintenance,Post-failure maintenance,hasProperty,12
Reactive Maintenance,breakdown maintenance,hasProperty,12
Reactive Maintenance,damage repair,hasProperty,12
Reactive Maintenance,unplanned maintenance,hasProperty,12
Reactive Maintenance,electromechanical equipment,appliesTo,12
Reactive Maintenance,devices that have minimal impact on production,appliesTo,12
Reactive Maintenance,devices backed up by redundant units,appliesTo,12
Preventive Maintenance,MaintenanceMethod,classifiedAs,12
Preventive Maintenance,electromechanical equipment,appliesTo,12
Regular maintenance,MaintenanceMethod,classifiedAs,12
Regular maintenance,planned maintenance,hasProperty,12
Regular maintenance,time-based preventive maintenance,hasProperty,12
Regular maintenance,process-oriented production equipment,appliesTo,12
Regular maintenance,power systems,appliesTo,12
Regular maintenance,large-scale assembly line equipment,appliesTo,12
Regular maintenance,key machinery operating on automated production lines,appliesTo,12
Planned Preventive Maintenance System,MaintenanceMethod,classifiedAs,12
Planned Maintenance System,MaintenanceMethod,classifiedAs,12
Planned Maintenance System,Maintenance and Repair System,hasProperty,12
equipment,wear patterns,isInfluencedBy,12
Component,wear patterns,isInfluencedBy,12
Failure,unexpected equipment failures,causes,12
Failure,unplanned disruptions in production,causes,12
MaintenanceMethod,maintenance strategy,hasProperty,12
MaintenanceMethod,physical lifecycle of machinery and materials,isInfluencedBy,12
Condition Monitoring and Maintenance,Maintenance Methods,isSubsectionOf,14
Condition Monitoring and Maintenance,Condition Monitoring,contains,14
Condition Monitoring and Maintenance,Predictive Maintenance,contains,14
Condition Monitoring and Maintenance,Diagnostic Techniques,contains,14
Condition Monitoring,DiagnosticTechnique,classifiedAs,14
Condition Monitoring,tracks gradual deterioration,hasProperty,14
Predictive Maintenance,MaintenanceMethod,classifiedAs,14
Predictive Maintenance,highly predictive insights,hasProperty,14
Predictive Maintenance,timely scheduling,hasProperty,14
Predictive Maintenance,more expensive,hasProperty,14
Predictive Maintenance,requires sophisticated diagnostics,hasProperty,14
Predictive Maintenance,requires highly skilled technicians,hasProperty,14
Diagnostic Techniques,DiagnosticTechnique,classifiedAs,14
Diagnostic Techniques,advanced,hasProperty,14
Equipment,Equipment,classifiedAs,14
Equipment,technical condition,hasProperty,14
Equipment,gradual deterioration,hasProperty,14
Equipment,Condition Monitoring and Maintenance,canBeMaintainedBy,14
Critical Equipment,Equipment,classifiedAs,14
Critical Equipment,high-value,hasProperty,14
Critical Equipment,Predictive Maintenance,canBeMaintainedBy,14
Production Line Assets,Equipment,classifiedAs,14
