vfb0,vfb1,vfb2,vfb3,vfb4,vfb5,current0,current1,current2,current3,current4,current5
0.363,-0.564,-0.398,0.088,-0.031,-0.01,1.755,1.9941,3.6579,1.6367,-0.54461,0.56869
0.477,-1.208,-0.168,0.074,0.022,-0.026,2.3062,4.2711,1.544,1.3763,0.3865,1.4786
0.483,-0.568,0.089,0.059,0.029,-0.033,2.3352,2.0083,-0.81796,1.0973,0.50948,1.8767
0.315,0.185,0.292,0.035,0.027,-0.03,1.5229,-0.6541,-2.6837,0.65095,0.47434,1.7061
-0.42,0.439,-0.112,0.038,-0.016,0.004,-2.0306,-1.5522,1.0293,0.70675,-0.28109,-0.22748
0.129,0.591,0.378,0.026,0.024,-0.025,0.62368,-2.0896,-3.4741,0.48357,0.42164,1.4217
0.417,0.059,0.239,0.039,0.017,-0.03,2.0161,-0.2086,-2.1965,0.72535,0.29866,1.7061
0.471,-0.99,-0.065,0.068,0.017,-0.031,2.2771,3.5003,0.59739,1.2647,0.29866,1.763
-0.396,0.554,0.08,0.033,-0.022,0.003,-1.9145,-1.9588,-0.73525,0.61376,-0.3865,-0.17061
0.399,-0.182,0.21,0.047,0.024,-0.031,1.929,0.64349,-1.93,0.87414,0.42164,1.763
